timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-20 10:06:33,CAMARA_01_CARNES,14.8,-17.7,15.0,0.768,3.25,47.4,5.406,17.563,0.308,NORMAL
2025-12-20 10:06:33,CAMARA_02_LACTEOS,14.8,4.3,15.0,0.736,6.92,38.7,1.844,12.759,0.184,NORMAL
2025-12-20 10:06:33,CAMARA_03_VERDURAS,14.8,4.1,15.0,0.745,7.0,38.4,1.821,12.759,0.184,NORMAL
2025-12-20 11:06:33,CAMARA_01_CARNES,10.4,-18.3,15.0,0.768,3.68,42.0,4.976,18.321,0.278,NORMAL
2025-12-20 11:06:33,CAMARA_02_LACTEOS,10.4,3.7,15.0,0.73,8.48,33.2,1.565,13.264,0.152,NORMAL
2025-12-20 11:06:33,CAMARA_03_VERDURAS,10.4,4.1,16.5,0.765,8.23,34.2,1.59,13.094,0.163,NORMAL
2025-12-20 12:06:33,CAMARA_01_CARNES,12.3,-18.3,15.0,0.728,3.31,46.7,5.443,17.994,0.291,NORMAL
2025-12-20 12:06:33,CAMARA_02_LACTEOS,12.3,4.2,15.0,0.736,7.77,35.5,1.68,13.047,0.166,NORMAL
2025-12-20 12:06:33,CAMARA_03_VERDURAS,12.3,3.9,15.0,0.747,7.89,35.2,1.654,13.047,0.166,NORMAL
2025-12-20 13:06:33,CAMARA_01_CARNES,13.6,-18.4,15.0,0.728,3.18,48.3,5.58,17.77,0.3,NORMAL
2025-12-20 13:06:33,CAMARA_02_LACTEOS,13.6,3.9,15.0,0.739,7.33,37.1,1.759,12.897,0.175,NORMAL
2025-12-20 13:06:33,CAMARA_03_VERDURAS,13.6,4.1,15.0,0.724,7.19,37.5,1.794,12.897,0.175,NORMAL
2025-12-20 14:06:33,CAMARA_01_CARNES,14.5,-18.0,15.0,0.728,3.11,49.4,5.669,17.615,0.306,NORMAL
2025-12-20 14:06:33,CAMARA_02_LACTEOS,14.5,3.6,21.4,0.745,5.47,45.9,2.205,12.052,0.23,ADVERTENCIA
2025-12-20 14:06:33,CAMARA_03_VERDURAS,14.5,4.2,15.0,0.723,6.88,38.7,1.858,12.794,0.182,NORMAL
2025-12-20 15:06:33,CAMARA_01_CARNES,14.4,-18.3,15.0,0.739,3.16,48.6,5.575,17.632,0.305,NORMAL
2025-12-20 15:06:33,CAMARA_02_LACTEOS,14.4,4.3,17.6,0.766,6.55,40.5,1.909,12.503,0.201,NORMAL
2025-12-20 15:06:33,CAMARA_03_VERDURAS,14.4,4.1,15.0,0.74,7.08,38.0,1.808,12.805,0.181,NORMAL
